
 Real time propagation step:                1
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.281331113674E-20  0.11498040E+01

 Real time propagation step:               33
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.271690429305E-23  0.18726831E+01
      0.100000000000E+01 -0.12686387E+01
      0.173966400733E-19  0.16581872E+01
      0.109622688884E-19  0.13782331E+01
      0.193951590491E-15 -0.89450777E+00
      0.193898260225E-15  0.22470847E+01
      0.224365219646E-20  0.13966270E+01

 Real time propagation step:               34
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.266006195788E-23  0.23376903E+01
      0.100000000000E+01 -0.92628238E+00
      0.156736855813E-19  0.18748455E+01
      0.867311176023E-20  0.16021931E+01
      0.134945170883E-15 -0.50196270E+00
      0.134908052158E-15  0.26396297E+01
      0.166571895173E-20  0.16662268E+01

 Real time propagation step:               35
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.248259649092E-23  0.28022842E+01
      0.100000000000E+01 -0.58392548E+00
      0.134104921368E-19  0.20966297E+01
      0.631916336667E-20  0.18415696E+01
      0.743993189789E-16  0.12903901E+00
      0.743788374630E-16 -0.30125539E+01
      0.113955627117E-20  0.19746971E+01

 Real time propagation step:               36
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.220227591977E-23 -0.30186312E+01
      0.100000000000E+01 -0.24156852E+00
      0.108179915609E-19  0.23261727E+01
      0.413870577344E-20  0.21087046E+01
      0.697848959232E-16  0.98635203E+00
      0.697656711613E-16 -0.21552407E+01
      0.717982918910E-21  0.23531030E+01

 Real time propagation step:               37
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.185082354456E-23 -0.25617981E+01
      0.100000000000E+01  0.10078796E+00
      0.813227734530E-20  0.25679632E+01
      0.234698856602E-20  0.24323131E+01
      0.101817276500E-15  0.15731419E+01
      0.101789235416E-15 -0.15684508E+01
      0.440989840255E-21  0.28557503E+01

 Real time propagation step:               38
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.146039621380E-23 -0.21123229E+01
      0.100000000000E+01  0.44314360E+00
      0.559154105460E-20  0.28305330E+01
      0.111411332914E-20  0.28901223E+01
      0.105878627619E-15  0.19197732E+01
      0.105849473395E-15 -0.12218195E+01
      0.331743712753E-21 -0.27656326E+01

 Real time propagation step:               39
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.106852499676E-23 -0.16740685E+01
      0.100000000000E+01  0.78549835E+00
      0.341400001892E-20  0.31322715E+01
      0.549070129967E-21 -0.26167607E+01
      0.601519888479E-16  0.22036819E+01
      0.601354236740E-16 -0.93791078E+00
      0.394732753058E-21 -0.20798817E+01

 Real time propagation step:               40
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.712350453703E-24 -0.12553235E+01
      0.100000000000E+01  0.11278525E+01
      0.177909115222E-20 -0.27640645E+01
      0.691124814524E-21 -0.16516204E+01
      0.112948999821E-16  0.26807590E+01
      0.112917859157E-16 -0.46083369E+00
      0.616305410281E-21 -0.15406928E+01

 Real time propagation step:               41
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.418879820537E-24 -0.87361012E+00
      0.100000000000E+01  0.14702066E+01
      0.813652579139E-21 -0.21677096E+01
      0.150844362533E-20 -0.10324357E+01
      0.653306846890E-17 -0.14663930E+01
      0.653127188297E-17  0.16752000E+01
      0.967367325106E-21 -0.11359067E+01

 Real time propagation step:               42
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.205303020493E-24 -0.57763927E+00
      0.100000000000E+01  0.18125612E+01
      0.583177311005E-21 -0.12269614E+01
      0.290376932924E-20 -0.64231086E+00
      0.301491976806E-16 -0.87624618E+00
      0.301409079485E-16  0.22653466E+01
      0.140753354551E-20 -0.80803318E+00

 Real time propagation step:               43
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.834661200651E-25 -0.52548367E+00
      0.100000000000E+01  0.21549166E+01
      0.108821657910E-20 -0.41094772E+00
      0.472565599682E-20 -0.34241823E+00
      0.334241674253E-16 -0.54283675E+00
      0.334149782426E-16  0.25987561E+01
      0.188977201843E-20 -0.52191345E+00

 Real time propagation step:               44
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.631118746513E-25 -0.91840818E+00
      0.100000000000E+01  0.24972731E+01
      0.226595020074E-20  0.81074527E-01
      0.678370016380E-20 -0.82285131E-01
      0.125051621326E-16  0.11483525E+00
      0.125017284256E-16 -0.30267572E+01
      0.236475213745E-20 -0.25949393E+00

 Real time propagation step:               45
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.152564235253E-24 -0.10549862E+01
      0.100000000000E+01  0.28396301E+01
      0.399650273631E-20  0.42829575E+00
      0.886679870566E-20  0.15781697E+00
      0.182875523994E-16  0.17181524E+01
      0.182825268278E-16 -0.14234405E+01
      0.278469586944E-20 -0.11245222E-01

 Real time propagation step:               46
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.356661471978E-24 -0.82051584E+00
      0.100000000000E+01 -0.31011981E+01
      0.611372442004E-20  0.71530566E+00
      0.107631703666E-19  0.38695385E+00
      0.791011690947E-16  0.23197817E+01
      0.790794087046E-16 -0.82181106E+00
      0.310693632109E-20  0.22830056E+00

 Real time propagation step:               47
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.670210050001E-24 -0.45258294E+00
      0.100000000000E+01 -0.27588415E+01
      0.841976111711E-20  0.97356488E+00
      0.122809490886E-19  0.60994637E+00
      0.147143611240E-15  0.26362398E+01
      0.147103123059E-15 -0.50535290E+00
      0.329766198948E-20  0.46267867E+00

 Real time propagation step:               48
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.107273753177E-23 -0.31738115E-01
      0.100000000000E+01 -0.24164858E+01
      0.107025789455E-19  0.12165038E+01
      0.132671657296E-19  0.82976909E+00
      0.154581937022E-15  0.29700428E+01
      0.154539391937E-15 -0.17154996E+00
      0.333544834875E-20  0.69460976E+00

 Real time propagation step:               49
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.152928124719E-23  0.41464378E+00
      0.100000000000E+01 -0.20741311E+01
      0.127548633879E-19  0.14507601E+01
      0.136233314948E-19  0.10485852E+01
