
 Real time propagation step:                1
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
  For each TD MOs required is printed: Population & Phase [rad] 
      0.120193163047E-21  0.74509380E+00
      0.642958987643E-20  0.14618795E+01
      0.333742412092E-17  0.26693784E+01
      0.100000000000E+01  0.74944020E+00
      0.195490002112E-17 -0.96276908E+00
      0.195527521400E-17  0.21785387E+01
      0.431619349964E-18  0.21838208E+01

 Real time propagation step:               36
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.115523344016E-21  0.82508024E+00
      0.422475290251E-20  0.15568445E+01
      0.347518670357E-17  0.26992323E+01
      0.100000000000E+01  0.77085416E+00
      0.835952126429E-16 -0.93782888E+00
      0.835782483761E-16  0.22037178E+01
      0.452986894225E-18  0.22018716E+01

 Real time propagation step:               37
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.105389373114E-21  0.89164188E+00
      0.241102627004E-20  0.15949993E+01
      0.361193690660E-17  0.27289662E+01
      0.100000000000E+01  0.79226764E+00
      0.198997569317E-15 -0.92060470E+00
      0.198952345997E-15  0.22209568E+01
      0.473937024988E-18  0.22200240E+01

 Real time propagation step:               38
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.922153979100E-22  0.93426595E+00
      0.116080108189E-20  0.14999400E+01
      0.374751905389E-17  0.27585839E+01
      0.100000000000E+01  0.81368029E+00
      0.204368887280E-15 -0.90453200E+00
      0.204322598087E-15  0.22370285E+01
      0.494379214098E-18  0.22382708E+01

 Real time propagation step:               39
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.789937167474E-22  0.93984658E+00
      0.584694528157E-21  0.10970218E+01
      0.388181077302E-17  0.27880895E+01
      0.100000000000E+01  0.83509204E+00
      0.904603496423E-16 -0.89134433E+00
      0.904423332451E-16  0.22501980E+01
      0.514242089033E-18  0.22566118E+01

 Real time propagation step:               40
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.694883741777E-22  0.89752194E+00
      0.722820244330E-21  0.51154634E+00
      0.401471468395E-17  0.28174872E+01
      0.100000000000E+01  0.85650319E+00
      0.214170155877E-17 -0.93148354E+00
      0.214229267237E-17  0.22097834E+01
      0.533469702948E-18  0.22750548E+01

 Real time propagation step:               41
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.677567334747E-22  0.81857981E+00
      0.154369625432E-20  0.25435491E+00
      0.414615975317E-17  0.28467819E+01
      0.100000000000E+01  0.87791428E+00
      0.470045227095E-16  0.23088764E+01
      0.469864112033E-16 -0.83263904E+00
      0.552019052471E-18  0.22936067E+01

 Real time propagation step:               42
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.763177446132E-22  0.74964073E+00
      0.294966243275E-20  0.22408940E+00
      0.427607705544E-17  0.28759784E+01
      0.100000000000E+01  0.89932587E+00
      0.150496069167E-15  0.23194736E+01
      0.150444936219E-15 -0.82207432E+00
      0.569856040459E-18  0.23122655E+01

 Real time propagation step:               43
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.942286931010E-22  0.73719646E+00
      0.478788185939E-20  0.28520655E+00
      0.440439915075E-17  0.29050809E+01
      0.100000000000E+01  0.92073834E+00
      0.160081849501E-15  0.23359198E+01
      0.160027391627E-15 -0.80562771E+00
      0.586950442812E-18  0.23310260E+01

 Real time propagation step:               44
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.116673170565E-21  0.79054809E+00
      0.686626339275E-20  0.38691728E+00
      0.453106723618E-17  0.29340933E+01
      0.100000000000E+01  0.94215175E+00
      0.603330800325E-16  0.23563208E+01
      0.603099022622E-16 -0.78519531E+00
      0.603272287422E-18  0.23498891E+01

 Real time propagation step:               45
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.136331740720E-21  0.89442814E+00
      0.897175510998E-20  0.50914090E+00
      0.465602137308E-17  0.29630185E+01
      0.100000000000E+01  0.96356579E+00
      0.383790103334E-18 -0.88983057E+00
      0.384314880955E-18  0.22508588E+01
      0.618792678960E-18  0.23688619E+01

 Real time propagation step:               46
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.145546847785E-21  0.10290467E+01
      0.108905610375E-19  0.64262875E+00
      0.477921472152E-17  0.29918602E+01
      0.100000000000E+01  0.98497991E+00
