#      omega [at.u.] real pol. elem. 1 1 imag pol. elem. 1 1
    -0.63452896E+001    -0.51871636E+000     0.61389500E-003
    -0.63376905E+001    -0.51926001E+000     0.61379174E-003
    -0.63300913E+001    -0.51980420E+000     0.61472176E-003
    -0.63224922E+001    -0.52035986E+000     0.61891002E-003
    -0.63148930E+001    -0.52091894E+000     0.61672917E-003
    -0.63072939E+001    -0.52147924E+000     0.61733911E-003
    -0.62996947E+001    -0.52204796E+000     0.62133000E-003
    -0.62920956E+001    -0.52262420E+000     0.62219017E-003
    -0.62844964E+001    -0.52320268E+000     0.62326907E-003
    -0.62768973E+001    -0.52379062E+000     0.63009519E-003
    -0.62692981E+001    -0.52438872E+000     0.63010360E-003
    -0.62616990E+001    -0.52498898E+000     0.63067639E-003
    -0.62540998E+001    -0.52559812E+000     0.63317024E-003
    -0.62465007E+001    -0.52621623E+000     0.63130298E-003
    -0.62389015E+001    -0.52683664E+000     0.62812396E-003
    -0.62313024E+001    -0.52746325E+000     0.62994813E-003
    -0.62237032E+001    -0.52810342E+000     0.62892266E-003
    -0.62161041E+001    -0.52874689E+000     0.62805469E-003
    -0.62085049E+001    -0.52940157E+000     0.63001038E-003
    -0.62009058E+001    -0.53006912E+000     0.62859279E-003
    -0.61933066E+001    -0.53074403E+000     0.62574268E-003
    -0.61857075E+001    -0.53142889E+000     0.62479248E-003
    -0.61781083E+001    -0.53213098E+000     0.62237303E-003
    -0.61705092E+001    -0.53284207E+000     0.61610769E-003
    -0.61629100E+001    -0.53356954E+000     0.61277981E-003
    -0.61553109E+001    -0.53431749E+000     0.60548923E-003
    -0.61477117E+001    -0.53508211E+000     0.59404689E-003
    -0.61401126E+001    -0.53586966E+000     0.58119144E-003
    -0.61325134E+001    -0.53668842E+000     0.56480672E-003
    -0.61249143E+001    -0.53753865E+000     0.53853143E-003
    -0.61173151E+001    -0.53843369E+000     0.50959473E-003
    -0.61097160E+001    -0.53939709E+000     0.46511842E-003
    -0.61021168E+001    -0.54044844E+000     0.39265397E-003
    -0.60945177E+001    -0.54164118E+000     0.27395282E-003
    -0.60869185E+001    -0.54307935E+000     0.42927676E-004
    -0.60793194E+001    -0.54498676E+000    -0.50469078E-003
    -0.60717202E+001    -0.54791034E+000    -0.22779019E-002
    -0.60641211E+001    -0.54969656E+000    -0.11265168E-001
    -0.60565219E+001    -0.53559000E+000    -0.76340418E-002
    -0.60489228E+001    -0.53920543E+000    -0.15895606E-002
    -0.60413236E+001    -0.54209426E+000    -0.41953194E-003
    -0.60337245E+001    -0.54427077E+000    -0.12730579E-003
    -0.60261253E+001    -0.54628163E+000    -0.14714942E-003
    -0.60185262E+001    -0.54850594E+000    -0.45996160E-003
