#       omega [a.u.]         Energy [eV]       Real pol. 1 1       Imag pol. 1 1
     0.12684237E+001     0.34515564E+002    -0.59087870E+001     0.62535927E+001
     0.12760191E+001     0.34722244E+002    -0.11918414E+002     0.95234999E+001
     0.12836144E+001     0.34928925E+002    -0.10817637E+002     0.31419568E+001
     0.12912098E+001     0.35135605E+002    -0.77303866E+001     0.20960648E+001
     0.12988051E+001     0.35342285E+002    -0.48918680E+001     0.30367218E+001
     0.13064005E+001     0.35548965E+002    -0.68783696E+001     0.66175441E+001
     0.13139958E+001     0.35755645E+002    -0.69960684E+001     0.24945531E+001
     0.13215912E+001     0.35962325E+002    -0.45013192E+001     0.16501158E+001
     0.13291865E+001     0.36169005E+002    -0.21420040E+001     0.16768925E+001
     0.13367819E+001     0.36375685E+002     0.58554442E+000     0.22373497E+001
     0.13443772E+001     0.36582365E+002     0.42533959E+001     0.35805053E+001
     0.13519726E+001     0.36789045E+002     0.10432290E+002     0.84783102E+001
     0.13595679E+001     0.36995725E+002     0.13089943E+002     0.25991743E+002
     0.13671633E+001     0.37202405E+002    -0.20473365E+002     0.25767166E+002
     0.13747586E+001     0.37409085E+002    -0.12584873E+002     0.94719441E+001
     0.13823540E+001     0.37615765E+002    -0.49918066E+001     0.14227582E+002
     0.13899493E+001     0.37822445E+002    -0.12215597E+002     0.14207932E+002
     0.13975447E+001     0.38029125E+002    -0.18091321E+002     0.15151970E+002
     0.14051400E+001     0.38235805E+002    -0.15343030E+002     0.56944373E+001
     0.14127354E+001     0.38442485E+002    -0.92791383E+001     0.57294020E+001
     0.14203307E+001     0.38649165E+002    -0.83431923E+001     0.16524789E+002
     0.14279261E+001     0.38855845E+002    -0.21469488E+002     0.81309038E+001
     0.14355214E+001     0.39062525E+002    -0.17230241E+002     0.26249513E+001
     0.14431168E+001     0.39269205E+002    -0.14530650E+002     0.13624554E+001
     0.14507121E+001     0.39475885E+002    -0.12822387E+002     0.89219065E+000
     0.14583075E+001     0.39682565E+002    -0.11596594E+002     0.66246704E+000
     0.14659028E+001     0.39889245E+002    -0.10636184E+002     0.53327934E+000
     0.14734982E+001     0.40095925E+002    -0.98327968E+001     0.45705488E+000
     0.14810936E+001     0.40302605E+002    -0.91207383E+001     0.41642532E+000
     0.14886889E+001     0.40509285E+002    -0.84486037E+001     0.41003750E+000
     0.14962843E+001     0.40715965E+002    -0.77572886E+001     0.45881100E+000
     0.15038796E+001     0.40922645E+002    -0.69548032E+001     0.67745783E+000
     0.15114750E+001     0.41129325E+002    -0.63689516E+001     0.13817502E+001
     0.15190703E+001     0.41336005E+002    -0.53676419E+001     0.26215000E+001
     0.15266657E+001     0.41542685E+002    -0.90158937E+001     0.42771120E+001
     0.15342610E+001     0.41749365E+002    -0.88121985E+001     0.12817089E+001
     0.15418564E+001     0.41956045E+002    -0.76351389E+001     0.76712960E+000
     0.15494517E+001     0.42162725E+002    -0.66291198E+001     0.11521331E+001
     0.15570471E+001     0.42369405E+002    -0.77807477E+001     0.23024009E+001
     0.15646424E+001     0.42576085E+002    -0.77770759E+001     0.73365408E+000
     0.15722378E+001     0.42782766E+002    -0.71281369E+001     0.38302148E+000
     0.15798331E+001     0.42989446E+002    -0.66584997E+001     0.28043743E+000
     0.15874285E+001     0.43196126E+002    -0.62715867E+001     0.24078303E+000
     0.15950238E+001     0.43402806E+002    -0.59179668E+001     0.22842665E+000
     0.16026192E+001     0.43609486E+002    -0.55670948E+001     0.23627027E+000
     0.16102145E+001     0.43816166E+002    -0.51886412E+001     0.26950813E+000
     0.16178099E+001     0.44022846E+002    -0.47359693E+001     0.35104946E+000
     0.16254052E+001     0.44229526E+002    -0.41119570E+001     0.56022046E+000
     0.16330006E+001     0.44436206E+002    -0.30867964E+001     0.12647886E+001
     0.16405959E+001     0.44642886E+002    -0.24056349E+001     0.48926074E+001
     0.16481913E+001     0.44849566E+002    -0.87375497E+001     0.37330207E+001
     0.16557866E+001     0.45056246E+002    -0.75379088E+001     0.10020332E+001
     0.16633820E+001     0.45262926E+002    -0.66277758E+001     0.45023063E+000
     0.16709773E+001     0.45469606E+002    -0.60905711E+001     0.26973396E+000
     0.16785727E+001     0.45676286E+002    -0.57230812E+001     0.18964930E+000
     0.16861680E+001     0.45882966E+002    -0.54437286E+001     0.14681518E+000
     0.16937634E+001     0.46089646E+002    -0.52163189E+001     0.12079954E+000
     0.17013587E+001     0.46296326E+002    -0.50229537E+001     0.10335142E+000
     0.17089541E+001     0.46503006E+002    -0.48540376E+001     0.90531643E-001
     0.17165495E+001     0.46709686E+002    -0.47044948E+001     0.80158358E-001
     0.17241448E+001     0.46916366E+002    -0.45720186E+001     0.70444651E-001
     0.17317402E+001     0.47123046E+002    -0.44507565E+001     0.58426540E-001
     0.17393355E+001     0.47329726E+002    -0.43377827E+001     0.72684071E-001
     0.17469309E+001     0.47536406E+002    -0.42454140E+001     0.19029427E+000
     0.17545262E+001     0.47743086E+002    -0.50442791E+001     0.75891945E+000
     0.17621216E+001     0.47949766E+002    -0.64139941E+001    -0.16615254E+001
     0.17697169E+001     0.48156446E+002    -0.15913728E+001    -0.41805374E+001
     0.17773123E+001     0.48363126E+002    -0.82848392E+000    -0.77328538E+000
     0.17849076E+001     0.48569806E+002    -0.10164073E+001     0.28810765E+000
     0.17925030E+001     0.48776486E+002    -0.21041942E+001     0.12257354E+001
     0.18000983E+001     0.48983166E+002    -0.20559387E+001     0.56198712E+000
     0.18076937E+001     0.49189846E+002    -0.15869064E+001     0.12340882E+001
     0.18152890E+001     0.49396526E+002    -0.28204185E+001     0.10910947E+001
     0.18228844E+001     0.49603206E+002    -0.22231589E+001     0.49918025E+000
     0.18304797E+001     0.49809886E+002    -0.15807701E+001     0.75628915E+000
     0.18380751E+001     0.50016566E+002    -0.19468933E+001     0.95631169E+000
     0.18456704E+001     0.50223246E+002    -0.13014216E+001     0.55932780E+000
     0.18532658E+001     0.50429927E+002    -0.38277366E+000     0.68369134E+000
     0.18608611E+001     0.50636607E+002     0.95171773E+000     0.12292229E+001
     0.18684565E+001     0.50843287E+002     0.32057826E+001     0.34323446E+001
     0.18760518E+001     0.51049967E+002    -0.10451424E+001     0.10935165E+002
     0.18836472E+001     0.51256647E+002    -0.39732292E+001     0.43074610E+001
     0.18912425E+001     0.51463327E+002     0.24094913E-001     0.58983043E+001
     0.18988379E+001     0.51670007E+002    -0.88128034E+001     0.11620176E+002
     0.19064332E+001     0.51876687E+002    -0.94754749E+001     0.31198687E+001
     0.19140286E+001     0.52083367E+002    -0.71468000E+001     0.13988052E+001
     0.19216239E+001     0.52290047E+002    -0.55834999E+001     0.11963805E+001
     0.19292193E+001     0.52496727E+002    -0.48384772E+001     0.26669059E+001
     0.19368146E+001     0.52703407E+002    -0.68181534E+001     0.15883274E+001
     0.19444100E+001     0.52910087E+002    -0.59410498E+001     0.57270362E+000
     0.19520053E+001     0.53116767E+002    -0.53189260E+001     0.33567106E+000
     0.19596007E+001     0.53323447E+002    -0.48783658E+001     0.25004717E+000
     0.19671961E+001     0.53530127E+002    -0.45136171E+001     0.22395662E+000
     0.19747914E+001     0.53736807E+002    -0.41532182E+001     0.26499220E+000
     0.19823868E+001     0.53943487E+002    -0.37326897E+001     0.56952271E+000
     0.19899821E+001     0.54150167E+002    -0.44698038E+001     0.12700220E+001
     0.19975775E+001     0.54356847E+002    -0.45432093E+001     0.38004283E+000
     0.20051728E+001     0.54563527E+002    -0.42236384E+001     0.18103907E+000
     0.20127682E+001     0.54770207E+002    -0.40055461E+001     0.12046302E+000
     0.20203635E+001     0.54976887E+002    -0.38403864E+001     0.90636441E-001
     0.20279589E+001     0.55183567E+002    -0.37089251E+001     0.64710331E-001
     0.20355542E+001     0.55390247E+002    -0.35959032E+001    -0.23874053E-002
     0.20431496E+001     0.55596927E+002    -0.33455316E+001    -0.17233197E-001
     0.20507449E+001     0.55803607E+002    -0.32439023E+001     0.44647654E-001
