#      omega [at.u.]      x,real [at.u.]      x,imag [at.u.]      y,real [at.u.]      y,imag [at.u.]      z,real [at.u.]      z,imag [at.u.]
    -0.69684198E+001    -0.48799810E-004     0.33731484E-007     0.62615034E-009    -0.22399550E-008    -0.64084334E-008    -0.74827594E-008
    -0.69608207E+001    -0.48823478E-004     0.34065824E-007     0.77668701E-009     0.84202293E-009    -0.37628404E-008     0.25869430E-010
    -0.69532215E+001    -0.48847610E-004     0.34610509E-007    -0.86653240E-009     0.19326982E-009    -0.94950365E-008    -0.53234491E-008
    -0.69456224E+001    -0.48872051E-004     0.34623895E-007    -0.80094683E-009    -0.12884063E-008    -0.50298068E-009    -0.94418824E-008
    -0.69380232E+001    -0.48896300E-004     0.35076660E-007    -0.18365887E-009     0.85853495E-009     0.39788153E-008    -0.24509992E-008
    -0.69304241E+001    -0.48921340E-004     0.35853186E-007    -0.18994820E-008    -0.95706933E-009    -0.48760049E-008     0.45150795E-008
    -0.69228249E+001    -0.48946690E-004     0.36085116E-007    -0.28128007E-009    -0.21058330E-008    -0.60865461E-008    -0.23071149E-008
    -0.69152258E+001    -0.48972150E-004     0.36634468E-007     0.12111813E-008    -0.80673704E-009    -0.72687813E-008     0.46594262E-009
    -0.69076267E+001    -0.48998179E-004     0.37314749E-007     0.13646550E-008     0.40291985E-009    -0.89318844E-008    -0.10315411E-007
    -0.69000275E+001    -0.49024776E-004     0.37550436E-007     0.28057169E-009     0.15066437E-008    -0.13961701E-008    -0.66902803E-008
    -0.68924284E+001    -0.49051093E-004     0.37743900E-007     0.22057558E-009     0.10122473E-008     0.23675653E-008    -0.86357000E-008
    -0.68848292E+001    -0.49077942E-004     0.38297303E-007    -0.18046358E-009     0.10876548E-008     0.77247774E-008     0.28445283E-008
    -0.68772301E+001    -0.49105270E-004     0.38402333E-007     0.48984477E-009     0.24197999E-008    -0.87237610E-008     0.63573749E-008
    -0.68696309E+001    -0.49132418E-004     0.38706365E-007    -0.27517965E-008     0.51998133E-008    -0.13487523E-007    -0.79421113E-008
    -0.68620318E+001    -0.49160055E-004     0.39182692E-007    -0.69065041E-008     0.75987610E-009     0.42040569E-009    -0.81337384E-008
    -0.68544326E+001    -0.49188249E-004     0.39525591E-007    -0.28437634E-008    -0.29542740E-008    -0.44508464E-008    -0.52398724E-008
    -0.68468335E+001    -0.49216374E-004     0.39725152E-007    -0.18190005E-008    -0.16151713E-008    -0.11780205E-008    -0.14227566E-007
    -0.68392343E+001    -0.49244944E-004     0.40409424E-007    -0.23632025E-008    -0.18478775E-008     0.11015494E-007    -0.35558464E-008
    -0.68316352E+001    -0.49274195E-004     0.40787938E-007    -0.11883172E-008    -0.32436849E-008     0.22184523E-008     0.72882064E-008
    -0.68240360E+001    -0.49303258E-004     0.41104906E-007     0.55986137E-009    -0.27429693E-008    -0.16618918E-008    -0.20495428E-009
    -0.68164369E+001    -0.49332917E-004     0.41723534E-007     0.23337682E-008    -0.45871062E-009    -0.12533301E-007    -0.10930329E-008
    -0.68088377E+001    -0.49363055E-004     0.42186594E-007    -0.21972530E-009     0.13642950E-008    -0.27612770E-008    -0.12259759E-007
    -0.68012386E+001    -0.49393330E-004     0.42411136E-007    -0.10298623E-008     0.19707682E-009     0.38946607E-008    -0.31082199E-008
    -0.67936394E+001    -0.49423948E-004     0.42928561E-007    -0.18970812E-008    -0.67554549E-009    -0.22611152E-008    -0.38612616E-008
    -0.67860403E+001    -0.49455224E-004     0.43134802E-007     0.11614505E-009    -0.45192799E-010    -0.51790811E-008    -0.40872166E-008
